Timestamp,Heat Index,Thermometer,UV Radiation Sensor,Wet Bulb Globe Temperature
2023-01-01 00:00:00,69.3,70.3,0,65.2
2023-01-02 00:00:00,73.7,72.3,1,70.4
2023-01-03 00:00:00,73.2,71.6,0,68.2
2023-01-04 00:00:00,66.5,65.2,2,64.0
2023-01-05 00:00:00,51.3,53.8,2,49.5
2023-01-06 00:00:00,52.1,54.7,2,48.8
2023-01-07 00:00:00,48.8,48.8,1,47.3
2023-01-08 00:00:00,50.1,49.9,1,51.4
2023-01-09 00:00:00,51.8,54.0,2,49.2
2023-01-10 00:00:00,61.1,63.4,2,57.6
2023-01-11 00:00:00,66.3,66.1,1,65.1
2023-01-12 00:00:00,68.7,68.0,2,66.9
2023-01-13 00:00:00,40.5,40.5,1,38.8
2023-01-14 00:00:00,38.9,39.9,2,38.7
2023-01-15 00:00:00,51.4,54.5,2,47.9
2023-01-16 00:00:00,57.7,58.7,1,57.1
2023-01-17 00:00:00,67.4,68.4,2,65.2
2023-01-18 00:00:00,70.3,69.9,1,65.9
2023-01-19 00:00:00,69.9,69.3,2,65.5
2023-01-20 00:00:00,47.5,48.5,2,46.5
2023-01-21 00:00:00,48.7,49.7,2,46.3
2023-01-22 00:00:00,47.1,47.4,1,45.8
2023-01-23 00:00:00,49.0,50.0,2,47.3
2023-01-24 00:00:00,50.0,51.3,2,50.2
2023-01-25 00:00:00,53.8,53.8,2,51.4
2023-01-26 00:00:00,38.9,39.4,1,38.7
2023-01-27 00:00:00,52.4,55.2,2,49.1
2023-01-28 00:00:00,56.4,60.3,2,53.0
2023-01-29 00:00:00,52.3,54.1,1,51.2
2023-01-30 00:00:00,50.4,50.0,1,49.6
2023-01-31 00:00:00,37.5,37.5,1,36.7
2023-02-01 00:00:00,32.0,32.0,0,31.2
2023-02-02 00:00:00,34.8,34.8,1,35.1
2023-02-03 00:00:00,33.2,34.2,2,33.4
2023-02-04 00:00:00,49.0,50.7,2,45.0
2023-02-05 00:00:00,57.7,59.7,2,55.2
2023-02-06 00:00:00,61.4,64.4,3,57.6
2023-02-07 00:00:00,67.8,69.2,3,65.1
2023-02-08 00:00:00,66.8,66.6,3,63.9
2023-02-09 00:00:00,67.1,66.9,3,62.7
2023-02-10 00:00:00,53.7,55.7,3,53.9
2023-02-11 00:00:00,52.0,54.9,3,49.8
2023-02-12 00:00:00,53.8,57.8,3,50.4
2023-02-13 00:00:00,64.6,68.6,3,59.4
2023-02-14 00:00:00,65.5,68.6,3,59.9
2023-02-15 00:00:00,71.1,71.1,3,68.7
2023-02-16 00:00:00,74.0,73.1,3,70.9
2023-02-17 00:00:00,46.4,46.4,1,44.6
2023-02-18 00:00:00,49.8,52.6,3,46.1
2023-02-19 00:00:00,58.3,61.6,3,54.2
2023-02-20 00:00:00,68.1,68.1,3,64.0
2023-02-21 00:00:00,64.0,67.1,3,60.2
2023-02-22 00:00:00,79.0,79.5,4,72.3
2023-02-23 00:00:00,82.8,84.0,4,76.6
2023-02-24 00:00:00,56.4,57.7,2,51.8
2023-02-25 00:00:00,50.6,51.6,3,47.7
2023-02-26 00:00:00,59.1,59.5,2,58.8
2023-02-27 00:00:00,76.6,78.6,4,72.3
2023-02-28 00:00:00,75.2,77.2,4,67.2
